code,sleeve,weight_pct
K1960,eq,28.31
K1960,bond,58.809999999999995
K1960,re,10.32
K1960,pe,0.43
K1960,gold,0.0
K1960,cash,2.02
K1960,total,99.89
K1970,eq,86.80000000000001
K1970,bond,1.17
K1970,re,7.75
K1970,pe,2.33
K1970,gold,0.0
K1970,cash,1.8
K1970,total,99.85000000000001
K1980,eq,89.99000000000001
K1980,bond,0.88
K1980,re,4.93
K1980,pe,2.55
K1980,gold,0.0
K1980,cash,1.52
K1980,total,99.87
K1990,eq,99.72
K1990,bond,0
K1990,re,0
K1990,pe,0
K1990,gold,0.0
K1990,cash,0.19
K1990,total,99.91
K2000,eq,97.89
K2000,bond,0
K2000,re,0.85
K2000,pe,0.29000000000000004
K2000,gold,0.0
K2000,cash,1.18
K2000,total,100.21000000000001
KKONS,eq,0
KKONS,bond,85.31
KKONS,re,12.61
KKONS,pe,0
KKONS,gold,0.0
KKONS,cash,2.06
KKONS,total,99.98
Ki,eq,99.66
Ki,bond,0
Ki,re,0
Ki,pe,0
Ki,gold,0.0
Ki,cash,0.29
Ki,total,99.95
LIK75,eq,99.71000000000001
LIK75,bond,0
LIK75,re,0
LIK75,pe,0
LIK75,gold,0
LIK75,cash,0.31
LIK75,total,100.02000000000001
LLK50,eq,31.67
LLK50,bond,9.4
LLK50,re,14.45
LLK50,pe,33.76
LLK50,gold,5.77
LLK50,cash,5.35
LLK50,total,100.39999999999999
LMK25,eq,8.26
LMK25,bond,56.31
LMK25,re,18.44
LMK25,pe,7.13
LMK25,gold,6.43
LMK25,cash,3.64
LMK25,total,100.21
LXK00,eq,0.49
LXK00,bond,89.58
LXK00,re,0
LXK00,pe,0
LXK00,gold,5.65
LXK00,cash,4.36
LXK00,total,100.08
LXK75,eq,46.69
LXK75,bond,16.52
LXK75,re,8.37
LXK75,pe,16.740000000000002
LXK75,gold,5.61
LXK75,cash,6.36
LXK75,total,100.28999999999999
NIK100,eq,99.67
NIK100,bond,0
NIK100,re,0
NIK100,pe,0
NIK100,gold,0.0
NIK100,cash,2.59
NIK100,total,102.26
NPK00,eq,9.73
NPK00,bond,89.41
NPK00,re,0
NPK00,pe,0
NPK00,gold,0.0
NPK00,cash,0.59
NPK00,total,99.73
NPK25,eq,41.28
NPK25,bond,53.769999999999996
NPK25,re,3.65
NPK25,pe,0.84
NPK25,gold,0.0
NPK25,cash,0.22
NPK25,total,99.76
NPK50,eq,81.07
NPK50,bond,11.190000000000001
NPK50,re,5.9799999999999995
NPK50,pe,1.45
NPK50,gold,0.0
NPK50,cash,0.27
NPK50,total,99.96
NPK75,eq,94.83
NPK75,bond,3.9299999999999997
NPK75,re,0.44999999999999996
NPK75,pe,0.6900000000000001
NPK75,gold,0.0
NPK75,cash,0.68
NPK75,total,100.58
SEK00,eq,8.81
SEK00,bond,90.47
SEK00,re,0
SEK00,pe,0
SEK00,gold,0.0
SEK00,cash,0
SEK00,total,99.28
SEK100,eq,88.72
SEK100,bond,3.23
SEK100,re,3.41
SEK100,pe,2.37
SEK100,gold,0.0
SEK100,cash,0
SEK100,total,97.73
SEK25,eq,48.19
SEK25,bond,40.65
SEK25,re,9.85
SEK25,pe,0.45
SEK25,gold,0.0
SEK25,cash,0
SEK25,total,99.14
SEK50,eq,80.50999999999999
SEK50,bond,8.33
SEK50,re,8.26
SEK50,pe,1.91
SEK50,gold,0.0
SEK50,cash,0
SEK50,total,99.00999999999999
SIK75,eq,99.7
SIK75,bond,0
SIK75,re,0
SIK75,pe,0
SIK75,gold,0.0
SIK75,cash,0
SIK75,total,99.7
