section,id,provider,format,file,source_url_or_origin,download_date,as_of_date,n_rows,serves_or_hash,note
sources,SASU,iShares (BlackRock),csv,data/real_holdings/2026-06-26/SASU_holdings.csv,https://www.ishares.com/uk/individual/en/products/305356/ishares-msci-usa-esg-screened-ucits-etf/1506575576011.ajax?fileType=csv&fileName=SASU_holdings&dataType=fund,2026-06-26,24/Jun/2026,475,IE00BFNM3G45 (EXACT); SE0007074083 (SAME); IE000G2LIHG9 (EXACT),
sources,SAEU,iShares (BlackRock),csv,data/real_holdings/2026-06-26/SAEU_holdings.csv,https://www.ishares.com/uk/individual/en/products/305363/ishares-msci-europe-esg-screened-ucits-etf/1506575576011.ajax?fileType=csv&fileName=SAEU_holdings&dataType=fund,2026-06-26,24/Jun/2026,380,IE00BFNM3D14 (EXACT),
sources,SAJP,iShares (BlackRock),csv,data/real_holdings/2026-06-26/SAJP_holdings.csv,https://www.ishares.com/uk/individual/en/products/305412/ishares-msci-japan-esg-screened-ucits-etf/1506575576011.ajax?fileType=csv&fileName=SAJP_holdings&dataType=fund,2026-06-26,24/Jun/2026,156,IE00BFNM3L97 (EXACT); LU2089238385 (SAME); IE00BFXR5T61 (SAME),
sources,SAEM,iShares (BlackRock),csv,data/real_holdings/2026-06-26/SAEM_holdings.csv,https://www.ishares.com/uk/individual/en/products/305397/ishares-msci-em-imi-esg-screened-ucits-etf-usd-acc-fund/1506575576011.ajax?fileType=csv&fileName=SAEM_holdings&dataType=fund,2026-06-26,24/Jun/2026,2618,IE00BFNM3P36 (EXACT),
sources,SAWD,iShares (BlackRock),csv,data/real_holdings/2026-06-26/SAWD_holdings.csv,https://www.ishares.com/uk/individual/en/products/305419/ishares-msci-world-esg-screened-ucits-etf-usd-acc-fund/1506575576011.ajax?fileType=csv&fileName=SAWD_holdings&dataType=fund,2026-06-26,24/Jun/2026,1188,IE0009FT4LX4 (SAME); IE00BFG1TM61 (SAME); IE00BFNM3J75 (SAME); IE000CL68Z69 (SAME); IE00BP2C1V62 (SAME); SE0014429353 (SAME); SE0007074059 (SAME),
sources,SSAC,iShares (BlackRock),csv,data/real_holdings/2026-06-26/SSAC_holdings.csv,https://www.ishares.com/uk/individual/en/products/251850/ishares-msci-acwi-ucits-etf/1506575576011.ajax?fileType=csv&fileName=SSAC_holdings&dataType=fund,2026-06-26,24/Jun/2026,1731,IE0009HF1MK9 (SAME); IE0003XJA0J9 (SAME),
sources,EMXC,iShares (BlackRock),csv,data/real_holdings/2026-06-26/EMXC_holdings.csv,https://www.ishares.com/uk/individual/en/products/315592/ishares-msci-em-ex-china-ucits-etf/1506575576011.ajax?fileType=csv&fileName=EMXC_holdings&dataType=fund,2026-06-26,24/Jun/2026,601,,
sources,NDIA,iShares (BlackRock),csv,data/real_holdings/2026-06-26/NDIA_holdings.csv,https://www.ishares.com/uk/individual/en/products/297617/ishares-msci-india-ucits-etf/1506575576011.ajax?fileType=csv&fileName=NDIA_holdings&dataType=fund,2026-06-26,24/Jun/2026,163,,
sources,4BRZ,iShares (BlackRock),csv,data/real_holdings/2026-06-26/4BRZ_holdings.csv,https://www.ishares.com/uk/individual/en/products/304304/ishares-msci-brazil-ucits-etf-usd-hedged/1506575576011.ajax?fileType=csv&fileName=4BRZ_holdings&dataType=fund,2026-06-26,24/Jun/2026,48,,
sources,CNYA,iShares (BlackRock),csv,data/real_holdings/2026-06-26/CNYA_holdings.csv,https://www.ishares.com/uk/individual/en/products/273192/ishares-msci-china-a-ucits-etf/1506575576011.ajax?fileType=csv&fileName=CNYA_holdings&dataType=fund,2026-06-26,24/Jun/2026,410,,
